codigo_region,region,codigo_comuna,comuna,03/07/2020,03/30/2020,04/01/2020,04/03/2020,04/06/2020,0,04/08/2020,04/10/2020,04/13/2020,04/15/2020,0,04/17/2020,04/20/2020,04/24/2020,04/27/2020,0,04/30/2020,05/04/2020
8,Biobío,8303,Cabrero,0,-,-,1,1,0,1,4,7,8,0,9,9,13,15,0,16,16
8,Biobío,8203,Cañete,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
8,Biobío,8103,Chiguayante,0,6,18,26,32,0,35,40,41,37,0,39,41,57,58,0,61,69
8,Biobío,8101,Concepción,0,28,47,53,70,0,73,81,92,130,0,142,149,136,139,0,147,141
8,Biobío,8204,Contulmo,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
8,Biobío,8102,Coronel,0,-,11,12,13,0,18,18,18,15,0,15,15,16,18,0,21,22
8,Biobío,8205,Curanilahue,0,-,1,1,1,0,1,1,1,1,0,1,1,2,2,0,1,1
8,Biobío,8104,Florida,0,-,-,2,2,0,2,2,2,4,0,4,4,3,3,0,3,3
8,Biobío,8112,Hualpén,0,-,39,50,67,0,74,83,93,65,0,70,77,103,104,0,103,115
8,Biobío,8105,Hualqui,0,-,3,3,7,0,7,7,8,9,0,13,15,19,19,0,20,20
8,Biobío,8304,Laja,0,-,2,3,5,0,5,5,6,7,0,7,7,10,12,0,12,12
8,Biobío,8201,Lebu,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
8,Biobío,8206,Los Álamos,0,-,-,-,-,0,-,-,0,0,0,0,0,1,1,0,1,1
8,Biobío,8301,Los Ángeles,0,11,15,12,17,0,22,22,22,25,0,26,30,31,31,0,31,31
8,Biobío,8106,Lota,0,-,-,1,1,0,1,1,1,1,0,1,1,1,1,0,1,2
8,Biobío,8305,Mulchén,0,-,5,5,5,0,5,5,5,5,0,5,5,5,5,0,5,6
8,Biobío,8306,Nacimiento,0,-,2,2,2,0,4,5,9,10,0,10,10,10,10,0,10,12
8,Biobío,8307,Negrete,0,-,-,-,1,0,2,2,2,2,0,2,2,2,2,0,2,2
8,Biobío,8107,Penco,0,-,1,3,5,0,5,5,9,11,0,12,15,17,18,0,19,20
8,Biobío,8308,Quilaco,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
8,Biobío,8309,Quilleco,0,-,-,-,-,0,-,-,0,0,0,0,1,1,0,0,0,0
8,Biobío,8108,San Pedro de la Paz,0,18,50,56,63,0,71,73,80,75,0,75,85,99,99,0,100,106
8,Biobío,8310,San Rosendo,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
8,Biobío,8311,Santa Bárbara,0,-,2,2,2,0,2,2,2,3,0,3,3,3,2,0,2,2
8,Biobío,8109,Santa Juana,0,-,-,-,-,0,-,-,0,0,0,0,1,2,2,0,2,2
8,Biobío,8110,Talcahuano,0,-,23,29,36,0,45,46,56,82,0,85,97,90,95,0,103,109
